Rk,Wk,Date,Time,Day,Winner,Pts,,Loser,Pts,Notes
307,10,Nov 7 2020,10:30 PM,Sat,Washington State,38,@,Oregon State,28,
308,11,Nov 10 2020,8:00 PM,Tue,Buffalo,42,,Miami (OH),10,
309,11,Nov 10 2020,7:30 PM,Tue,Kent State,62,@,Bowling Green State,24,
310,11,Nov 10 2020,7:00 PM,Tue,Ohio,24,,Akron,10,
311,11,Nov 11 2020,7:00 PM,Wed,Ball State,38,,Eastern Michigan,31,
312,11,Nov 11 2020,8:00 PM,Wed,Central Michigan,40,@,Northern Illinois,10,
313,11,Nov 11 2020,8:00 PM,Wed,Western Michigan,41,,Toledo,38,
314,11,Nov 12 2020,12:00 PM,Thu,Boise State,52,,Colorado State,21,
315,11,Nov 13 2020,12:00 PM,Fri,(7) Cincinnati,55,,East Carolina,17,
316,11,Nov 13 2020,7:00 PM,Fri,Florida Atlantic,38,@,Florida International,19,
317,11,Nov 13 2020,12:00 PM,Fri,Iowa,35,@,Minnesota,7,
318,11,Nov 14 2020,2:30 PM,Sat,Appalachian State,17,,Georgia State,13,
319,11,Nov 14 2020,7:30 PM,Sat,Central Florida,38,,Temple,13,
320,11,Nov 14 2020,3:30 PM,Sat,Colorado,35,@,Stanford,32,
321,11,Nov 14 2020,7:00 PM,Sat,(6) Florida,63,,Arkansas,35,
322,11,Nov 14 2020,2:30 PM,Sat,Fresno State,35,@,Utah State,16,
323,11,Nov 14 2020,3:30 PM,Sat,Georgia Southern,40,,Texas State,38,
324,11,Nov 14 2020,3:30 PM,Sat,Houston,56,,South Florida,21,
325,11,Nov 14 2020,1:00 PM,Sat,Illinois,23,@,Rutgers,20,
326,11,Nov 14 2020,12:00 PM,Sat,(10) Indiana,24,@,Michigan State,0,
327,11,Nov 14 2020,12:00 PM,Sat,Kentucky,38,,Vanderbilt,35,
328,11,Nov 14 2020,12:00 PM,Sat,(22) Liberty,58,,Western Carolina,14,
329,11,Nov 14 2020,2:00 PM,Sat,(25) Louisiana,38,,South Alabama,10,
330,11,Nov 14 2020,12:00 PM,Sat,(16) Marshall,42,,Middle Tennessee State,14,
331,11,Nov 14 2020,12:00 PM,Sat,(9) Miami (FL),25,@,Virginia Tech,24,
332,11,Nov 14 2020,7:30 PM,Sat,Mississippi,59,,South Carolina,42,
333,11,Nov 14 2020,12:00 PM,Sat,Nebraska,30,,Penn State,23,
334,11,Nov 14 2020,6:30 PM,Sat,Nevada,27,N,New Mexico,20,Sam Boyd Stadium - Las Vegas Nevada
335,11,Nov 14 2020,12:00 PM,Sat,North Carolina,59,,Wake Forest,53,
336,11,Nov 14 2020,7:30 PM,Sat,North Carolina State,38,,Florida State,22,
337,11,Nov 14 2020,7:30 PM,Sat,(23) Northwestern,27,@,Purdue,20,
338,11,Nov 14 2020,3:30 PM,Sat,(2) Notre Dame,45,@,Boston College,31,
339,11,Nov 14 2020,7:00 PM,Sat,(11) Oregon,43,@,Washington State,29,
340,11,Nov 14 2020,4:00 PM,Sat,San Diego State,34,,Hawaii,10,
341,11,Nov 14 2020,10:30 PM,Sat,San Jose State,34,,Nevada-Las Vegas,17,
342,11,Nov 14 2020,3:30 PM,Sat,(20) Southern California,34,@,Arizona,30,
343,11,Nov 14 2020,4:00 PM,Sat,Texas Tech,24,,Baylor,23,
344,11,Nov 14 2020,3:00 PM,Sat,Texas-San Antonio,52,,Texas-El Paso,21,
345,11,Nov 14 2020,12:00 PM,Sat,Tulane,38,,Army,12,
346,11,Nov 14 2020,7:00 PM,Sat,Tulsa,28,,(19) Southern Methodist,24,
347,11,Nov 14 2020,3:30 PM,Sat,Virginia,31,,Louisville,17,
348,11,Nov 14 2020,11:00 PM,Sat,Washington,27,,Oregon State,21,
349,11,Nov 14 2020,12:00 PM,Sat,West Virginia,24,,Texas Christian,6,
350,11,Nov 14 2020,3:30 PM,Sat,Western Kentucky,10,,Southern Mississippi,7,
351,11,Nov 14 2020,7:30 PM,Sat,(13) Wisconsin,49,@,Michigan,11,
352,11,Nov 15 2020,12:00 PM,Sun,UCLA,34,,California,10,
353,12,Nov 17 2020,7:00 PM,Tue,Buffalo,42,@,Bowling Green State,17,
354,12,Nov 17 2020,8:00 PM,Tue,Kent State,69,,Akron,35,
355,12,Nov 18 2020,7:00 PM,Wed,Ball State,31,,Northern Illinois,25,
356,12,Nov 18 2020,7:00 PM,Wed,Toledo,45,@,Eastern Michigan,28,
357,12,Nov 18 2020,7:00 PM,Wed,Western Michigan,52,@,Central Michigan,44,
358,12,Nov 19 2020,12:00 PM,Thu,(25) Tulsa,30,,Tulane,24,
359,12,Nov 20 2020,12:00 PM,Fri,Air Force,28,,New Mexico,0,
360,12,Nov 20 2020,8:00 PM,Fri,Florida Atlantic,24,,Massachusetts,2,
361,12,Nov 20 2020,7:00 PM,Fri,Louisville,30,,Syracuse,0,
362,12,Nov 20 2020,12:00 PM,Fri,Minnesota,34,,Purdue,31,
363,12,Nov 21 2020,4:00 PM,Sat,(1) Alabama,63,,Kentucky,3,
364,12,Nov 21 2020,12:00 PM,Sat,Army,28,,Georgia Southern,27,
365,12,Nov 21 2020,7:00 PM,Sat,(23) Auburn,30,,Tennessee,17,
366,12,Nov 21 2020,11:00 PM,Sat,Boise State,40,@,Hawaii,32,
367,12,Nov 21 2020,3:00 PM,Sat,(8) Brigham Young,66,,North Alabama,14,
368,12,Nov 21 2020,3:30 PM,Sat,(7) Cincinnati,36,@,Central Florida,33,
369,12,Nov 21 2020,12:00 PM,Sat,(15) Coastal Carolina,34,,Appalachian State,23,
370,12,Nov 21 2020,12:00 PM,Sat,East Carolina,28,@,Temple,3,
371,12,Nov 21 2020,12:00 PM,Sat,(6) Florida,38,@,Vanderbilt,17,
372,12,Nov 21 2020,7:30 PM,Sat,(13) Georgia,31,,Mississippi State,24,
373,12,Nov 21 2020,4:00 PM,Sat,Georgia State,31,@,South Alabama,14,
374,12,Nov 21 2020,12:00 PM,Sat,Illinois,41,@,Nebraska,23,
375,12,Nov 21 2020,3:30 PM,Sat,Iowa,41,@,Penn State,21,
376,12,Nov 21 2020,4:00 PM,Sat,(17) Iowa State,45,,Kansas State,0,
377,12,Nov 21 2020,12:00 PM,Sat,Louisiana State,27,@,Arkansas,24,
378,12,Nov 21 2020,12:00 PM,Sat,Memphis,56,,Stephen F. Austin,14,
379,12,Nov 21 2020,7:30 PM,Sat,Michigan,48,@,Rutgers,42,
380,12,Nov 21 2020,3:30 PM,Sat,Middle Tennessee State,20,@,Troy,17,
381,12,Nov 21 2020,7:30 PM,Sat,Missouri,17,@,South Carolina,10,
382,12,Nov 21 2020,3:30 PM,Sat,Nevada,26,,San Diego State,21,
383,12,Nov 21 2020,7:30 PM,Sat,North Carolina State,15,,(21) Liberty,14,
384,12,Nov 21 2020,2:00 PM,Sat,North Texas,27,,Rice,17,
385,12,Nov 21 2020,3:30 PM,Sat,(19) Northwestern,17,,(10) Wisconsin,7,
386,12,Nov 21 2020,12:00 PM,Sat,(3) Ohio State,42,,(9) Indiana,35,
387,12,Nov 21 2020,7:30 PM,Sat,(18) Oklahoma,41,,(14) Oklahoma State,13,
388,12,Nov 21 2020,3:30 PM,Sat,(11) Oregon,38,,UCLA,35,Autzen Stadium - Eugene Oregon
389,12,Nov 21 2020,3:30 PM,Sat,Oregon State,31,,California,27,
390,12,Nov 21 2020,4:00 PM,Sat,Pittsburgh,47,,Virginia Tech,14,
391,12,Nov 21 2020,10:30 PM,Sat,(20) Southern California,33,@,Utah,17,
392,12,Nov 21 2020,12:00 PM,Sat,Texas State,47,,Arkansas State,45,
393,12,Nov 21 2020,3:00 PM,Sat,Texas-San Antonio,23,@,Southern Mississippi,20,
394,12,Nov 21 2020,4:00 PM,Sat,Virginia,55,,Abilene Christian,15,
395,12,Nov 21 2020,8:00 PM,Sat,Washington,44,,Arizona,27,
396,12,Nov 21 2020,2:00 PM,Sat,Western Kentucky,38,,Florida International,21,
397,13,Nov 26 2020,12:00 PM,Thu,Utah State,41,,New Mexico,27,
398,13,Nov 27 2020,3:30 PM,Fri,Central Florida,58,@,South Florida,46,
399,13,Nov 27 2020,12:00 PM,Fri,Central Michigan,31,@,Eastern Michigan,23,
400,13,Nov 27 2020,1:00 PM,Fri,Iowa,26,,Nebraska,20,
401,13,Nov 27 2020,12:00 PM,Fri,(15) Iowa State,23,@,(20) Texas,20,
402,13,Nov 27 2020,12:00 PM,Fri,Liberty,45,,Massachusetts,0,
403,13,Nov 27 2020,3:30 PM,Fri,(2) Notre Dame,31,@,(25) North Carolina,17,
404,13,Nov 27 2020,7:30 PM,Fri,Oregon State,41,,(9) Oregon,38,
405,13,Nov 27 2020,4:00 PM,Fri,Stanford,24,@,California,23,
406,13,Nov 27 2020,12:00 PM,Fri,Wyoming,45,@,Nevada-Las Vegas,14,
407,13,Nov 28 2020,3:30 PM,Sat,(1) Alabama,42,,(22) Auburn,13,
408,13,Nov 28 2020,8:00 PM,Sat,Appalachian State,47,,Troy,10,
409,13,Nov 28 2020,12:00 PM,Sat,Ball State,27,@,Toledo,24,
410,13,Nov 28 2020,7:00 PM,Sat,Baylor,32,,Kansas State,31,
411,13,Nov 28 2020,4:00 PM,Sat,Boston College,34,,Louisville,27,Alumni Stadium - Chestnut Hill Massachusetts
412,13,Nov 28 2020,12:00 PM,Sat,Buffalo,70,,Kent State,41,
413,13,Nov 28 2020,3:30 PM,Sat,(4) Clemson,52,,Pittsburgh,17,
414,13,Nov 28 2020,3:00 PM,Sat,(16) Coastal Carolina,49,@,Texas State,14,
415,13,Nov 28 2020,5:00 PM,Sat,Colorado,20,,San Diego State,10,Folsom Field - Boulder Colorado
416,13,Nov 28 2020,12:00 PM,Sat,East Carolina,52,,Southern Methodist,38,
417,13,Nov 28 2020,12:00 PM,Sat,(6) Florida,34,,Kentucky,10,
418,13,Nov 28 2020,7:30 PM,Sat,(13) Georgia,45,@,South Carolina,16,
419,13,Nov 28 2020,12:00 PM,Sat,Georgia State,30,,Georgia Southern,24,
420,13,Nov 28 2020,7:00 PM,Sat,Georgia Tech,56,,Duke,33,
421,13,Nov 28 2020,11:00 PM,Sat,Hawaii,24,,Nevada,21,
422,13,Nov 28 2020,12:00 PM,Sat,(12) Indiana,27,,Maryland,11,
423,13,Nov 28 2020,3:00 PM,Sat,(23) Louisiana,70,@,Louisiana-Monroe,20,
424,13,Nov 28 2020,7:00 PM,Sat,Memphis,10,@,Navy,7,
425,13,Nov 28 2020,1:00 PM,Sat,Miami (OH),38,@,Akron,7,
426,13,Nov 28 2020,3:30 PM,Sat,Michigan State,29,,(11) Northwestern,20,
427,13,Nov 28 2020,4:00 PM,Sat,Mississippi,31,,Mississippi State,24,
428,13,Nov 28 2020,12:00 PM,Sat,Missouri,41,,Vanderbilt,0,
429,13,Nov 28 2020,12:00 PM,Sat,North Carolina State,36,@,Syracuse,29,
430,13,Nov 28 2020,12:00 PM,Sat,Ohio,52,,Bowling Green State,10,
431,13,Nov 28 2020,12:00 PM,Sat,(21) Oklahoma State,50,,Texas Tech,44,
432,13,Nov 28 2020,12:00 PM,Sat,Penn State,27,@,Michigan,17,
433,13,Nov 28 2020,4:00 PM,Sat,Rutgers,37,@,Purdue,30,
434,13,Nov 28 2020,3:00 PM,Sat,South Alabama,38,@,Arkansas State,31,
435,13,Nov 28 2020,7:00 PM,Sat,(5) Texas A&M,20,,Louisiana State,7,
436,13,Nov 28 2020,8:00 PM,Sat,Texas Christian,59,@,Kansas,23,
437,13,Nov 28 2020,3:00 PM,Sat,Texas-San Antonio,49,,North Texas,17,
438,13,Nov 28 2020,8:00 PM,Sat,UCLA,27,,Arizona,10,
439,13,Nov 28 2020,7:30 PM,Sat,Washington,24,,Utah,21,
440,13,Nov 28 2020,12:00 PM,Sat,Western Michigan,30,,Northern Illinois,27,
441,14,Dec 3 2020,12:00 PM,Thu,Air Force,35,@,Utah State,7,
442,14,Dec 3 2020,6:00 PM,Thu,Louisiana Tech,42,@,North Texas,31,
443,14,Dec 4 2020,8:30 PM,Fri,(20) Louisiana,24,@,Appalachian State,21,
444,14,Dec 5 2020,2:00 PM,Sat,Akron,31,,Bowling Green State,3,
445,14,Dec 5 2020,8:00 PM,Sat,(1) Alabama,55,@,Louisiana State,17,
446,14,Dec 5 2020,3:00 PM,Sat,Arkansas State,48,,Louisiana-Monroe,15,
447,14,Dec 5 2020,2:00 PM,Sat,Ball State,45,@,Central Michigan,20,
448,14,Dec 5 2020,7:00 PM,Sat,California,21,,(21) Oregon,17,
449,14,Dec 5 2020,7:30 PM,Sat,(4) Clemson,45,@,Virginia Tech,10,
450,14,Dec 5 2020,5:30 PM,Sat,(14) Coastal Carolina,22,,(8) Brigham Young,17,
451,14,Dec 5 2020,7:00 PM,Sat,Colorado,24,@,Arizona,13,
452,14,Dec 5 2020,2:00 PM,Sat,Eastern Michigan,53,@,Western Michigan,42,
453,14,Dec 5 2020,3:30 PM,Sat,(6) Florida,31,@,Tennessee,19,
454,14,Dec 5 2020,6:00 PM,Sat,Georgia Southern,20,,Florida Atlantic,3,
455,14,Dec 5 2020,3:30 PM,Sat,(10) Indiana,14,@,(18) Wisconsin,6,
456,14,Dec 5 2020,3:30 PM,Sat,(24) Iowa,35,@,Illinois,21,
457,14,Dec 5 2020,3:30 PM,Sat,(12) Iowa State,42,,West Virginia,6,
458,14,Dec 5 2020,7:30 PM,Sat,Kentucky,41,,South Carolina,18,
459,14,Dec 5 2020,8:00 PM,Sat,(9) Miami (FL),48,@,Duke,0,
460,14,Dec 5 2020,12:00 PM,Sat,Missouri,50,,Arkansas,48,Faurot Field at Memorial Stadium - Columbia Missouri
461,14,Dec 5 2020,12:00 PM,Sat,Nebraska,37,@,Purdue,27,
462,14,Dec 5 2020,10:30 PM,Sat,Nevada,37,,Fresno State,26,
463,14,Dec 5 2020,10:30 PM,Sat,New Mexico,17,,Wyoming,16,
464,14,Dec 5 2020,7:00 PM,Sat,North Carolina,49,,Western Carolina,9,
465,14,Dec 5 2020,4:00 PM,Sat,North Carolina State,23,,Georgia Tech,13,
466,14,Dec 5 2020,2:30 PM,Sat,(2) Notre Dame,45,,Syracuse,21,
467,14,Dec 5 2020,12:00 PM,Sat,(3) Ohio State,52,@,Michigan State,12,
468,14,Dec 5 2020,8:00 PM,Sat,(13) Oklahoma,27,,Baylor,14,
469,14,Dec 5 2020,12:00 PM,Sat,Penn State,23,@,Rutgers,7,
470,14,Dec 5 2020,12:00 PM,Sat,Rice,20,@,(15) Marshall,0,
471,14,Dec 5 2020,7:00 PM,Sat,San Diego State,29,,Colorado State,17,
472,14,Dec 5 2020,4:00 PM,Sat,San Jose State,35,@,Hawaii,24,
473,14,Dec 5 2020,4:00 PM,Sat,Stanford,31,@,(23) Washington,26,
474,14,Dec 5 2020,12:00 PM,Sat,Texas,69,@,Kansas State,31,
475,14,Dec 5 2020,12:00 PM,Sat,(5) Texas A&M,31,@,Auburn,20,
476,14,Dec 5 2020,12:00 PM,Sat,Texas Christian,29,,(19) Oklahoma State,22,
477,14,Dec 5 2020,12:00 PM,Sat,Texas Tech,16,,Kansas,13,
478,14,Dec 5 2020,12:00 PM,Sat,Toledo,41,@,Northern Illinois,24,
479,14,Dec 5 2020,2:00 PM,Sat,Troy,29,@,South Alabama,0,
480,14,Dec 5 2020,12:00 PM,Sat,Tulane,35,,Memphis,21,
481,14,Dec 5 2020,3:30 PM,Sat,(22) Tulsa,19,@,Navy,6,
482,14,Dec 5 2020,10:30 PM,Sat,UCLA,25,@,Arizona State,18,
483,14,Dec 5 2020,10:30 PM,Sat,Utah,30,,Oregon State,24,
484,14,Dec 5 2020,3:30 PM,Sat,Virginia,43,,Boston College,32,
485,14,Dec 6 2020,7:30 PM,Sun,(17) Southern California,38,,Washington State,13,United Airlines Field at Los Angeles Memorial Coliseum - Los Angeles California
486,14,Dec 6 2020,12:00 PM,Sun,Western Kentucky,37,@,Charlotte,19,
487,15,Dec 10 2020,7:00 PM,Thu,Pittsburgh,34,@,Georgia Tech,20,
488,15,Dec 10 2020,6:30 PM,Thu,Southern Mississippi,45,,Florida Atlantic,31,
489,15,Dec 11 2020,7:00 PM,Fri,Arizona State,70,@,Arizona,7,
490,15,Dec 11 2020,12:00 PM,Fri,San Jose State,30,N,Nevada,20,Sam Boyd Stadium - Las Vegas Nevada
491,15,Dec 11 2020,4:00 PM,Fri,Texas-El Paso,45,@,North Texas,43,
492,15,Dec 12 2020,12:00 PM,Sat,(1) Alabama,52,@,Arkansas,3,
493,15,Dec 12 2020,1:00 PM,Sat,Alabama-Birmingham,21,@,Rice,16,
494,15,Dec 12 2020,6:00 PM,Sat,Appalachian State,34,@,Georgia Southern,26,
495,15,Dec 12 2020,3:00 PM,Sat,Army,15,,Navy,0,
496,15,Dec 12 2020,7:30 PM,Sat,Auburn,24,@,Mississippi State,10,
497,15,Dec 12 2020,12:00 PM,Sat,Ball State,30,,Western Michigan,27,
498,15,Dec 12 2020,6:00 PM,Sat,Boise State,17,@,Wyoming,9,
499,15,Dec 12 2020,10:00 PM,Sat,(14) Brigham Young,28,,San Diego State,14,
500,15,Dec 12 2020,2:30 PM,Sat,(24) Buffalo,56,,Akron,7,
501,15,Dec 12 2020,3:00 PM,Sat,(11) Coastal Carolina,42,@,Troy,38,Veterans Memorial Stadium - Troy Alabama
502,15,Dec 12 2020,12:00 PM,Sat,Eastern Michigan,41,,Northern Illinois,33,
503,15,Dec 12 2020,4:00 PM,Sat,Florida State,56,,Duke,35,
504,15,Dec 12 2020,12:00 PM,Sat,(12) Georgia,49,@,Missouri,14,
505,15,Dec 12 2020,11:00 PM,Sat,Hawaii,38,,Nevada-Las Vegas,21,
506,15,Dec 12 2020,3:30 PM,Sat,(19) Iowa,28,,(25) Wisconsin,7,
507,15,Dec 12 2020,7:00 PM,Sat,Louisiana State,37,@,(6) Florida,34,
508,15,Dec 12 2020,12:00 PM,Sat,Louisville,45,,Wake Forest,21,
509,15,Dec 12 2020,3:30 PM,Sat,Memphis,30,,Houston,27,
510,15,Dec 12 2020,12:00 PM,Sat,Minnesota,24,@,Nebraska,17,
511,15,Dec 12 2020,10:30 PM,Sat,New Mexico,49,N,Fresno State,39,Sam Boyd Stadium - Las Vegas Nevada
512,15,Dec 12 2020,3:30 PM,Sat,(20) North Carolina,62,@,(9) Miami (FL),26,
513,15,Dec 12 2020,12:00 PM,Sat,(15) Northwestern,28,,Illinois,10,
514,15,Dec 12 2020,7:00 PM,Sat,Oklahoma State,42,@,Baylor,3,
515,15,Dec 12 2020,12:00 PM,Sat,Penn State,39,,Michigan State,24,
516,15,Dec 12 2020,12:00 PM,Sat,Rutgers,27,@,Maryland,24,
517,15,Dec 12 2020,7:30 PM,Sat,(16) Southern California,43,@,UCLA,38,
518,15,Dec 12 2020,10:00 PM,Sat,Stanford,27,@,Oregon State,24,
519,15,Dec 12 2020,4:00 PM,Sat,Tennessee,42,@,Vanderbilt,17,
520,15,Dec 12 2020,7:00 PM,Sat,Texas Christian,52,,Louisiana Tech,10,
521,15,Dec 12 2020,3:00 PM,Sat,Toledo,24,,Central Michigan,23,
522,15,Dec 12 2020,12:00 PM,Sat,Utah,38,@,(21) Colorado,21,Folsom Field - Boulder Colorado
523,15,Dec 12 2020,8:00 PM,Sat,Virginia Tech,33,,Virginia,15,
524,16,Dec 18 2020,7:00 PM,Fri,Alabama-Birmingham,22,@,Marshall,13,
525,16,Dec 18 2020,7:30 PM,Fri,Ball State,38,N,(23) Buffalo,28,Ford Field - Detroit Michigan
526,16,Dec 18 2020,7:30 PM,Fri,Nebraska,28,@,Rutgers,21,
527,16,Dec 18 2020,8:00 PM,Fri,Oregon,31,@,(13) Southern California,24,
528,16,Dec 19 2020,8:00 PM,Sat,(1) Alabama,52,N,(11) Florida,46,Mercedes-Benz Stadium - Atlanta Georgia
529,16,Dec 19 2020,10:30 PM,Sat,Arizona State,46,@,Oregon State,33,
530,16,Dec 19 2020,3:00 PM,Sat,Army,10,,Air Force,7,
531,16,Dec 19 2020,8:00 PM,Sat,(6) Cincinnati,27,,(20) Tulsa,24,
532,16,Dec 19 2020,4:00 PM,Sat,(4) Clemson,34,N,(2) Notre Dame,10,Bank of America Stadium - Charlotte North Carolina
533,16,Dec 19 2020,3:30 PM,Sat,Louisiana State,53,,Mississippi,48,
534,16,Dec 19 2020,3:30 PM,Sat,Mississippi State,51,,Missouri,32,
535,16,Dec 19 2020,12:00 PM,Sat,(3) Ohio State,22,N,(15) Northwestern,10,Lucas Oil Stadium - Indianapolis Indiana
536,16,Dec 19 2020,12:00 PM,Sat,(12) Oklahoma,27,N,(8) Iowa State,21,AT&T Stadium - Arlington Texas
537,16,Dec 19 2020,5:30 PM,Sat,Penn State,56,,Illinois,21,
538,16,Dec 19 2020,4:15 PM,Sat,(25) San Jose State,34,N,Boise State,20,Sam Boyd Stadium - Las Vegas Nevada
539,16,Dec 19 2020,7:00 PM,Sat,Stanford,48,@,UCLA,47,
540,16,Dec 19 2020,12:00 PM,Sat,(5) Texas A&M,34,@,Tennessee,13,
541,16,Dec 19 2020,1:30 PM,Sat,Utah,45,,Washington State,28,
542,16,Dec 19 2020,4:00 PM,Sat,Wisconsin,20,,Minnesota,17,
543,16,Dec 21 2020,2:30 PM,Mon,Appalachian State,56,N,North Texas,28,Myrtle Beach Bowl (Brooks Stadium - Conway South Carolina)
544,17,Dec 22 2020,7:00 PM,Tue,(13) Brigham Young,49,N,Central Florida,23,Boca Raton Bowl (FAU Stadium - Boca Raton Florida)
545,17,Dec 22 2020,3:30 PM,Tue,Nevada,38,N,Tulane,27,Famous Idaho Potato Bowl (Albertsons Stadium - Boise Idaho)
546,17,Dec 23 2020,3:00 PM,Wed,Georgia Southern,38,N,Louisiana Tech,3,New Orleans Bowl (Mercedes-Benz Superdome - New Orleans Louisiana)
547,17,Dec 23 2020,7:00 PM,Wed,Memphis,25,N,Florida Atlantic,10,Montgomery Bowl (Cramton Bowl - Montgomery Alabama)
548,17,Dec 24 2020,3:30 PM,Thu,Hawaii,28,N,Houston,14,New Mexico Bowl (Toyota Stadium - Frisco Texas)
549,17,Dec 25 2020,2:30 PM,Fri,Buffalo,17,N,Marshall,10,Camellia Bowl (Cramton Bowl - Montgomery Alabama)
550,17,Dec 26 2020,3:30 PM,Sat,Georgia State,39,N,Western Kentucky,21,LendingTree Bowl (Ladd-Peebles Stadium - Mobile Alabama)
551,17,Dec 26 2020,7:30 PM,Sat,(23) Liberty,37,N,(9) Coastal Carolina,34,Cure Bowl (Camping World Stadium - Orlando Florida)
552,17,Dec 26 2020,3:30 PM,Sat,(16) Louisiana,31,N,Texas-San Antonio,24,First Responder Bowl (Gerald J. Ford Stadium - Dallas Texas)
553,18,Dec 29 2020,5:30 PM,Tue,Oklahoma State,37,N,(18) Miami (FL),34,Cheez-It Bowl (Camping World Stadium - Orlando Florida)
554,18,Dec 29 2020,9:00 PM,Tue,(20) Texas,55,N,Colorado,23,Alamo Bowl (Alamodome - San Antonio Texas)
555,18,Dec 30 2020,8:00 PM,Wed,(8) Oklahoma,55,N,(10) Florida,20,Cotton Bowl (AT&T Stadium - Arlington Texas)
556,18,Dec 30 2020,12:00 PM,Wed,Wisconsin,42,N,Wake Forest,28,Duke's Mayo Bowl (Bank of America Stadium - Charlotte North Carolina)
557,18,Dec 31 2020,2:00 PM,Thu,Ball State,34,N,(19) San Jose State,13,Arizona Bowl (Arizona Stadium - Tucson Arizona)
558,18,Dec 31 2020,12:00 PM,Thu,Mississippi State,28,N,(22) Tulsa,26,Armed Forces Bowl (Amon G. Carter Stadium - Fort Worth Texas)
559,18,Dec 31 2020,4:00 PM,Thu,West Virginia,24,N,Army,21,Liberty Bowl (Liberty Bowl Memorial Stadium - Memphis Tennessee)
560,18,Jan 1 2021,4:00 PM,Fri,(1) Alabama,31,N,(4) Notre Dame,14,Rose Bowl (AT&T Stadium - Arlington Texas)
561,18,Jan 1 2021,12:00 PM,Fri,(11) Georgia,24,N,(6) Cincinnati,21,Peach Bowl (Mercedes-Benz Stadium - Atlanta Georgia)
562,18,Jan 1 2021,1:00 PM,Fri,(15) Northwestern,35,N,Auburn,19,Citrus Bowl (Camping World Stadium - Orlando Florida)
563,18,Jan 1 2021,8:00 PM,Fri,(3) Ohio State,49,N,(2) Clemson,28,Sugar Bowl (Mercedes-Benz Superdome - New Orleans Louisiana)
564,18,Jan 2 2021,4:00 PM,Sat,(12) Iowa State,34,N,(25) Oregon,17,Fiesta Bowl (State Farm Stadium - Glendale Arizona)
565,18,Jan 2 2021,12:00 PM,Sat,Kentucky,23,N,(24) North Carolina State,21,Gator Bowl (TIAA Bank Field - Jacksonville Florida)
566,18,Jan 2 2021,12:30 PM,Sat,Mississippi,26,N,(7) Indiana,20,Outback Bowl (Raymond James Stadium - Tampa Florida)
567,18,Jan 2 2021,8:00 PM,Sat,(5) Texas A&M,41,N,(14) North Carolina,27,Orange Bowl (Hard Rock Stadium - Miami Gardens Florida)
568,19,Jan 11 2021,8:00 PM,Mon,(1) Alabama,52,N,(3) Ohio State,24,College Football Championship (Hard Rock Stadium - Miami Gardens Florida)
569,20,Feb 21 2021,5:00 PM,Sun,Tarleton State,43,@,New Mexico State,17,Aggie Memorial Stadium - Las Cruces New Mexico
570,21,Mar 7 2021,5:00 PM,Sun,New Mexico State,36,N,Dixie State,29,Sun Bowl - El Paso Texas
