Rk,Wk,Date,Time,Day,Winner,Pts,,Loser,Pts,Notes
147,7,Oct 17 2020,3:30 PM,Sat,Arkansas,33,,Mississippi,21,
148,7,Oct 17 2020,1:30 PM,Sat,Army,28,@,Texas-San Antonio,16,
149,7,Oct 17 2020,12:00 PM,Sat,(1) Clemson,73,@,Georgia Tech,7,
150,7,Oct 17 2020,7:30 PM,Sat,Florida State,31,,(5) North Carolina,28,
151,7,Oct 17 2020,4:00 PM,Sat,Georgia Southern,41,,Massachusetts,0,
152,7,Oct 17 2020,12:00 PM,Sat,Kentucky,34,@,(18) Tennessee,7,
153,7,Oct 17 2020,12:00 PM,Sat,Liberty,38,@,Syracuse,21,
154,7,Oct 17 2020,6:00 PM,Sat,Marshall,35,@,Louisiana Tech,17,
155,7,Oct 17 2020,3:30 PM,Sat,Memphis,50,,Central Florida,49,
156,7,Oct 17 2020,12:00 PM,Sat,(13) Miami (FL),31,,Pittsburgh,19,
157,7,Oct 17 2020,12:00 PM,Sat,Navy,27,@,East Carolina,23,
158,7,Oct 17 2020,3:30 PM,Sat,North Carolina State,31,,Duke,20,
159,7,Oct 17 2020,5:00 PM,Sat,North Texas,52,@,Middle Tennessee State,35,
160,7,Oct 17 2020,2:30 PM,Sat,(4) Notre Dame,12,,Louisville,7,
161,7,Oct 17 2020,12:00 PM,Sat,South Alabama,30,,Texas State,20,
162,7,Oct 17 2020,12:00 PM,Sat,South Carolina,30,,(14) Auburn,22,
163,7,Oct 17 2020,12:00 PM,Sat,Temple,39,,South Florida,37,
164,7,Oct 17 2020,4:00 PM,Sat,(11) Texas A&M,28,@,Mississippi State,14,
165,7,Oct 17 2020,3:30 PM,Sat,Troy,31,,Eastern Kentucky,29,
166,7,Oct 17 2020,8:00 PM,Sat,(23) Virginia Tech,40,,Boston College,14,
167,7,Oct 17 2020,4:00 PM,Sat,Wake Forest,40,,Virginia,23,
168,7,Oct 17 2020,12:00 PM,Sat,West Virginia,38,,Kansas,17,
169,8,Oct 22 2020,7:30 PM,Thu,Appalachian State,45,,Arkansas State,17,
170,8,Oct 23 2020,7:00 PM,Fri,Jacksonville State,19,@,Florida International,10,
171,8,Oct 23 2020,8:00 PM,Fri,Louisiana,24,@,Alabama-Birmingham,20,
172,8,Oct 23 2020,7:30 PM,Fri,Tulsa,42,@,South Florida,13,
173,8,Oct 23 2020,12:00 PM,Fri,(14) Wisconsin,45,,Illinois,7,
174,8,Oct 24 2020,3:30 PM,Sat,(2) Alabama,48,@,Tennessee,17,
175,8,Oct 24 2020,12:00 PM,Sat,Army,49,,Mercer,3,
176,8,Oct 24 2020,12:00 PM,Sat,Auburn,35,@,Mississippi,28,
177,8,Oct 24 2020,7:00 PM,Sat,Boise State,42,,Utah State,13,
178,8,Oct 24 2020,4:00 PM,Sat,Boston College,48,,Georgia Tech,27,
179,8,Oct 24 2020,10:15 PM,Sat,(12) Brigham Young,52,,Texas State,14,
180,8,Oct 24 2020,2:00 PM,Sat,Central Florida,51,,Tulane,34,
181,8,Oct 24 2020,12:00 PM,Sat,Charlotte,38,,Texas-El Paso,28,
182,8,Oct 24 2020,9:00 PM,Sat,(9) Cincinnati,42,@,(16) Southern Methodist,13,
183,8,Oct 24 2020,12:00 PM,Sat,(1) Clemson,47,,Syracuse,21,
184,8,Oct 24 2020,12:00 PM,Sat,(25) Coastal Carolina,28,,Georgia Southern,14,
185,8,Oct 24 2020,4:00 PM,Sat,Georgia State,36,@,Troy,34,
186,8,Oct 24 2020,7:30 PM,Sat,Hawaii,34,@,Fresno State,19,
187,8,Oct 24 2020,3:30 PM,Sat,Houston,37,@,Navy,21,
188,8,Oct 24 2020,3:30 PM,Sat,Indiana,36,,(8) Penn State,35,
189,8,Oct 24 2020,12:00 PM,Sat,(20) Kansas State,55,,Kansas,14,
190,8,Oct 24 2020,1:00 PM,Sat,Liberty,56,,Southern Mississippi,35,
191,8,Oct 24 2020,7:00 PM,Sat,Louisiana State,52,,South Carolina,24,
192,8,Oct 24 2020,12:00 PM,Sat,Louisville,48,,Florida State,16,
193,8,Oct 24 2020,2:30 PM,Sat,(22) Marshall,20,,Florida Atlantic,9,
194,8,Oct 24 2020,12:00 PM,Sat,Memphis,41,,Temple,29,
195,8,Oct 24 2020,8:00 PM,Sat,(11) Miami (FL),19,,Virginia,14,
196,8,Oct 24 2020,7:30 PM,Sat,(18) Michigan,49,@,(21) Minnesota,24,
197,8,Oct 24 2020,3:30 PM,Sat,Middle Tennessee State,40,@,Rice,34,
198,8,Oct 24 2020,4:00 PM,Sat,Missouri,20,,Kentucky,10,Faurot Field at Memorial Stadium - Columbia Missouri
199,8,Oct 24 2020,7:00 PM,Sat,Nevada,37,,Wyoming,34,
200,8,Oct 24 2020,12:00 PM,Sat,(14) North Carolina,48,,(23) North Carolina State,21,
201,8,Oct 24 2020,7:30 PM,Sat,Northwestern,43,,Maryland,3,
202,8,Oct 24 2020,3:30 PM,Sat,(3) Notre Dame,45,@,Pittsburgh,3,
203,8,Oct 24 2020,12:00 PM,Sat,(5) Ohio State,52,,Nebraska,17,
204,8,Oct 24 2020,12:00 PM,Sat,Oklahoma,33,@,Texas Christian,14,
205,8,Oct 24 2020,3:30 PM,Sat,(6) Oklahoma State,24,,(17) Iowa State,21,
206,8,Oct 24 2020,3:30 PM,Sat,Purdue,24,,Iowa,20,
207,8,Oct 24 2020,12:00 PM,Sat,Rutgers,38,@,Michigan State,27,
208,8,Oct 24 2020,10:30 PM,Sat,San Diego State,34,,Nevada-Las Vegas,6,
209,8,Oct 24 2020,10:30 PM,Sat,San Jose State,17,,Air Force,6,
210,8,Oct 24 2020,7:00 PM,Sat,South Alabama,38,,Louisiana-Monroe,14,Hancock Whitney Stadium - Mobile Alabama
211,8,Oct 24 2020,3:30 PM,Sat,Texas,27,,Baylor,16,
212,8,Oct 24 2020,5:30 PM,Sat,Texas Tech,34,,West Virginia,27,
213,8,Oct 24 2020,8:00 PM,Sat,Texas-San Antonio,27,,Louisiana Tech,26,
214,8,Oct 24 2020,3:30 PM,Sat,Wake Forest,23,,(19) Virginia Tech,16,
215,8,Oct 24 2020,4:00 PM,Sat,Western Kentucky,13,,Chattanooga,10,
216,9,Oct 29 2020,12:00 PM,Thu,Fresno State,38,,Colorado State,17,
217,9,Oct 29 2020,12:00 PM,Thu,Georgia Southern,24,,South Alabama,17,
218,9,Oct 30 2020,12:00 PM,Fri,Maryland,45,,Minnesota,44,
219,9,Oct 30 2020,9:00 PM,Fri,Tulsa,34,,East Carolina,30,
220,9,Oct 30 2020,12:00 PM,Fri,Wyoming,31,,Hawaii,7,
221,9,Oct 31 2020,7:00 PM,Sat,(2) Alabama,41,,Mississippi State,0,
222,9,Oct 31 2020,4:00 PM,Sat,Appalachian State,31,@,Louisiana-Monroe,13,
223,9,Oct 31 2020,3:30 PM,Sat,Auburn,48,,Louisiana State,11,
224,9,Oct 31 2020,6:00 PM,Sat,(25) Boise State,49,@,Air Force,30,
225,9,Oct 31 2020,10:15 PM,Sat,(11) Brigham Young,41,,Western Kentucky,10,
226,9,Oct 31 2020,2:00 PM,Sat,Central Florida,44,@,Houston,21,
227,9,Oct 31 2020,12:00 PM,Sat,(7) Cincinnati,49,,Memphis,10,
228,9,Oct 31 2020,12:00 PM,Sat,(1) Clemson,34,,Boston College,28,
229,9,Oct 31 2020,12:00 PM,Sat,(20) Coastal Carolina,51,@,Georgia State,0,Center Parc Credit Union Stadium - Atlanta Georgia
230,9,Oct 31 2020,7:00 PM,Sat,Duke,53,,Charlotte,19,
231,9,Oct 31 2020,7:30 PM,Sat,(10) Florida,41,,Missouri,17,
232,9,Oct 31 2020,12:00 PM,Sat,Florida Atlantic,24,,Texas-San Antonio,3,
